"雇用契約期間の定めの有無
従業上の地位・雇用形態",番号,総数,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85歳以上,平均年齢
総数,1,57224900.0,983100.0,4201200.0,5368500.0,5241800.0,5629700.0,6157000.0,7269200.0,7012000.0,5622600.0,4340200.0,2696300.0,1835900.0,641200.0,171800.0,54500.0,44.9
　　　正規の職員・従業員,2,36114600.0,194400.0,2504200.0,4269800.0,4046700.0,4173400.0,4384400.0,5074500.0,4754300.0,3724700.0,1773800.0,628200.0,367800.0,137300.0,53100.0,28100.0,42.6
　　　非正規の職員・従業員,3,21110300.0,788700.0,1697000.0,1098600.0,1195100.0,1456300.0,1772600.0,2194700.0,2257700.0,1897900.0,2566400.0,2068200.0,1468200.0,503900.0,118800.0,26400.0,48.8
　　　　パート,4,10365000.0,19200.0,146900.0,320100.0,540700.0,838400.0,1106200.0,1396600.0,1434200.0,1212600.0,1211000.0,1069000.0,758900.0,252300.0,49400.0,9400.0,52.3
　　　　アルバイト,5,4313600.0,744500.0,1249000.0,289700.0,209900.0,187900.0,188200.0,201800.0,191500.0,145900.0,192000.0,308800.0,277800.0,95500.0,26800.0,4200.0,37.0
　　　　労働者派遣事業所の派遣社員,6,1516900.0,9100.0,89100.0,170300.0,150000.0,140400.0,165500.0,210800.0,203600.0,136300.0,78600.0,66100.0,64100.0,26000.0,6100.0,1000.0,45.1
　　　　契約社員,7,2926000.0,8800.0,153000.0,236000.0,220600.0,201200.0,216000.0,264800.0,294900.0,260200.0,527100.0,315700.0,172500.0,45500.0,8300.0,1500.0,50.1
　　　　嘱託,8,1099100.0,400.0,9000.0,21700.0,24000.0,34900.0,39100.0,46300.0,57800.0,70400.0,448100.0,204600.0,101700.0,29900.0,8800.0,2400.0,59.8
　　　　その他,9,889800.0,6700.0,50000.0,60900.0,49900.0,53500.0,57600.0,74300.0,75700.0,72500.0,109600.0,104000.0,93300.0,54700.0,19300.0,7900.0,53.3
"　雇用契約期間の定めがない
　（定年までの雇用を含む）",10,39484600.0,380800.0,2609700.0,4147800.0,4124100.0,4409300.0,4758800.0,5570500.0,5289800.0,4211900.0,1871900.0,980300.0,712400.0,287700.0,92200.0,37400.0,43.4
　　　正規の職員・従業員,11,32858200.0,161200.0,2158600.0,3855500.0,3750400.0,3905400.0,4121300.0,4806900.0,4476000.0,3497900.0,1235800.0,438000.0,271200.0,110000.0,44900.0,25100.0,42.3
　　　非正規の職員・従業員,12,6626400.0,219600.0,451100.0,292300.0,373700.0,503800.0,637500.0,763700.0,813800.0,713900.0,636000.0,542300.0,441200.0,177800.0,47300.0,12300.0,48.9
　　　　パート,13,4291500.0,4700.0,46100.0,124100.0,231500.0,372800.0,484600.0,595400.0,648500.0,558000.0,474800.0,368600.0,265900.0,92800.0,20000.0,3900.0,51.7
　　　　アルバイト,14,1475300.0,211200.0,378200.0,110500.0,80200.0,78300.0,76600.0,80000.0,83400.0,65400.0,69200.0,97400.0,96900.0,34800.0,11900.0,1400.0,38.6
　　　　労働者派遣事業所の派遣社員,15,318700.0,1700.0,15900.0,36800.0,37800.0,22400.0,36500.0,41900.0,34400.0,34700.0,14300.0,15200.0,16500.0,8800.0,1500.0,300.0,45.8
　　　　契約社員,16,,,,,,,,,,,,,,,,,
　　　　嘱託,17,199500.0,,2100.0,4900.0,5500.0,9100.0,13100.0,15500.0,18200.0,24600.0,42900.0,26600.0,22200.0,9800.0,3500.0,1300.0,57.8
　　　　その他,18,341300.0,1900.0,8800.0,16000.0,18600.0,21200.0,26800.0,30700.0,29400.0,31300.0,34900.0,34500.0,39800.0,31700.0,10300.0,5500.0,55.7
　雇用契約期間の定めがある,19,12879100.0,233000.0,794000.0,766700.0,757100.0,849300.0,981400.0,1261800.0,1319400.0,1129800.0,2174300.0,1444700.0,863500.0,246600.0,46400.0,11000.0,50.4
　　　正規の職員・従業員,20,1872700.0,7800.0,120900.0,186400.0,143600.0,131900.0,129400.0,134700.0,161800.0,142700.0,474100.0,149500.0,67500.0,17200.0,3200.0,2000.0,48.9
　　　非正規の職員・従業員,21,11006400.0,225200.0,673100.0,580300.0,613400.0,717400.0,852100.0,1127100.0,1157600.0,987100.0,1700200.0,1295200.0,796000.0,229400.0,43200.0,9100.0,50.6
　　　　パート,22,4563000.0,7500.0,65500.0,121500.0,213600.0,323500.0,435000.0,601200.0,598300.0,523800.0,600900.0,573300.0,369000.0,108700.0,17200.0,4000.0,53.4
　　　　アルバイト,23,1524800.0,203800.0,390600.0,96700.0,69300.0,70300.0,68300.0,76800.0,68600.0,56400.0,89800.0,162600.0,122700.0,39100.0,7900.0,2000.0,40.6
　　　　労働者派遣事業所の派遣社員,24,1016100.0,5100.0,54100.0,112100.0,93300.0,100100.0,110400.0,145600.0,150500.0,89500.0,58100.0,42800.0,38700.0,11900.0,3200.0,600.0,45.2
　　　　契約社員,25,2727500.0,6100.0,130700.0,208400.0,203200.0,184100.0,198100.0,248200.0,278000.0,247200.0,508500.0,300400.0,163200.0,43100.0,7100.0,1200.0,50.5
　　　　嘱託,26,841300.0,400.0,5900.0,14200.0,16900.0,22800.0,22900.0,29000.0,36900.0,44100.0,385900.0,169000.0,73200.0,15200.0,3900.0,1100.0,60.3
　　　　その他,27,333600.0,2200.0,26200.0,27500.0,17200.0,16600.0,17400.0,26400.0,25300.0,26100.0,56900.0,47100.0,29200.0,11300.0,4000.0,200.0,51.9
　　１か月未満,28,72500.0,4200.0,2500.0,4500.0,4400.0,7600.0,6000.0,7100.0,7100.0,5500.0,6700.0,8700.0,5800.0,1600.0,600.0,200.0,48.8
　　　正規の職員・従業員,29,6800.0,0.0,200.0,800.0,600.0,1700.0,200.0,600.0,900.0,500.0,500.0,400.0,200.0,,,100.0,44.4
　　　非正規の職員・従業員,30,65700.0,4200.0,2300.0,3700.0,3800.0,5900.0,5900.0,6500.0,6200.0,5000.0,6200.0,8300.0,5600.0,1600.0,600.0,100.0,49.2
　　　　パート,31,16100.0,,300.0,900.0,700.0,1900.0,1700.0,1500.0,1400.0,1700.0,1700.0,1600.0,1900.0,700.0,,100.0,52.3
　　　　アルバイト,32,20200.0,1800.0,1600.0,600.0,1100.0,2800.0,1400.0,1400.0,1100.0,400.0,1500.0,3400.0,2900.0,100.0,0.0,,48.0
　　　　労働者派遣事業所の派遣社員,33,18400.0,2500.0,300.0,1700.0,700.0,700.0,2300.0,2200.0,3200.0,2000.0,500.0,1600.0,200.0,200.0,300.0,,44.7
　　　　契約社員,34,6500.0,,,400.0,1400.0,400.0,300.0,600.0,400.0,500.0,1300.0,600.0,400.0,200.0,,,50.0
　　　　嘱託,35,1800.0,,,100.0,,,100.0,,100.0,100.0,800.0,500.0,200.0,,0.0,,61.9
　　　　その他,36,2700.0,,0.0,,,100.0,,800.0,,200.0,200.0,600.0,100.0,400.0,200.0,,60.7
　　１か月以上３か月以下,37,928400.0,24300.0,68000.0,81700.0,68300.0,83900.0,93300.0,123900.0,118800.0,82700.0,70800.0,57100.0,40400.0,10500.0,3100.0,1400.0,45.6
　　　正規の職員・従業員,38,31400.0,700.0,5100.0,5100.0,4900.0,1000.0,1900.0,2700.0,1700.0,2400.0,3100.0,1800.0,700.0,200.0,,,40.8
　　　非正規の職員・従業員,39,897000.0,23600.0,63000.0,76700.0,63400.0,83000.0,91300.0,121300.0,117000.0,80300.0,67700.0,55300.0,39700.0,10300.0,3100.0,1400.0,45.8
　　　　パート,40,205900.0,200.0,4400.0,7800.0,8600.0,19400.0,20700.0,29800.0,27100.0,23500.0,22000.0,16000.0,19400.0,4700.0,1100.0,1200.0,52.0
　　　　アルバイト,41,137300.0,22300.0,30100.0,8400.0,6100.0,9500.0,6500.0,7600.0,9600.0,7000.0,6200.0,13600.0,7300.0,2700.0,300.0,200.0,39.3
　　　　労働者派遣事業所の派遣社員,42,416100.0,800.0,16000.0,43800.0,39100.0,41700.0,54300.0,71200.0,69000.0,36800.0,23200.0,13300.0,5700.0,1000.0,400.0,,44.5
　　　　契約社員,43,123400.0,300.0,12200.0,15600.0,9100.0,12000.0,9400.0,12300.0,10600.0,11700.0,13300.0,9800.0,5000.0,1600.0,500.0,0.0,45.7
　　　　嘱託,44,8400.0,,200.0,700.0,100.0,100.0,200.0,400.0,500.0,900.0,2100.0,1800.0,1100.0,100.0,300.0,,58.6
　　　　その他,45,5900.0,,100.0,400.0,300.0,300.0,300.0,100.0,200.0,500.0,900.0,800.0,1200.0,400.0,400.0,,59.0
　　３か月超６か月以下,46,1423600.0,44900.0,129800.0,78200.0,85400.0,94800.0,113900.0,155000.0,155100.0,121500.0,141500.0,170000.0,99600.0,29200.0,3400.0,1300.0,48.5
　　　正規の職員・従業員,47,54400.0,500.0,9900.0,7400.0,4200.0,6000.0,3500.0,1800.0,3300.0,2100.0,6400.0,4900.0,3100.0,800.0,400.0,,43.3
　　　非正規の職員・従業員,48,1369100.0,44400.0,119900.0,70800.0,81200.0,88900.0,110400.0,153100.0,151800.0,119300.0,135100.0,165100.0,96600.0,28400.0,3000.0,1300.0,48.7
　　　　パート,49,662300.0,1300.0,14700.0,17000.0,28400.0,46900.0,62200.0,93600.0,95700.0,79300.0,69700.0,86800.0,49500.0,15600.0,1500.0,200.0,52.9
　　　　アルバイト,50,304800.0,41000.0,89500.0,19400.0,15700.0,12000.0,14000.0,16700.0,10300.0,11200.0,16500.0,31800.0,18700.0,6300.0,1000.0,800.0,38.7
　　　　労働者派遣事業所の派遣社員,51,134200.0,600.0,3300.0,13600.0,13200.0,14600.0,12900.0,21300.0,17400.0,12300.0,10800.0,6000.0,6900.0,1100.0,200.0,200.0,46.5
　　　　契約社員,52,216300.0,1400.0,11200.0,19600.0,23000.0,13200.0,19400.0,17800.0,25000.0,14700.0,25400.0,27900.0,14100.0,3400.0,100.0,100.0,48.8
　　　　嘱託,53,34400.0,,500.0,200.0,700.0,800.0,1200.0,1000.0,2600.0,800.0,10200.0,8600.0,6300.0,1400.0,200.0,,61.8
　　　　その他,54,17000.0,,700.0,1000.0,200.0,1400.0,700.0,2700.0,800.0,1100.0,2500.0,4100.0,1200.0,700.0,,,54.6
　　６か月超１年以下,55,4788400.0,60000.0,199400.0,183000.0,194800.0,241400.0,313900.0,407500.0,442100.0,411500.0,1113300.0,706400.0,391700.0,106500.0,15000.0,1800.0,54.0
　　　正規の職員・従業員,56,445500.0,1000.0,13700.0,18200.0,17700.0,15500.0,14700.0,15600.0,21800.0,18000.0,216800.0,61600.0,24400.0,5900.0,200.0,400.0,56.7
　　　非正規の職員・従業員,57,4342900.0,59100.0,185700.0,164800.0,177200.0,225900.0,299100.0,391900.0,420300.0,393500.0,896500.0,644800.0,367400.0,100600.0,14800.0,1400.0,53.7
　　　　パート,58,2105300.0,2300.0,20700.0,47400.0,86600.0,133700.0,193900.0,266900.0,273600.0,247200.0,314100.0,293400.0,168700.0,50600.0,5700.0,600.0,54.3
　　　　アルバイト,59,501800.0,55000.0,119100.0,34100.0,18600.0,21100.0,21600.0,24900.0,22900.0,20400.0,33900.0,62700.0,50400.0,14500.0,2300.0,300.0,42.9
　　　　労働者派遣事業所の派遣社員,60,97000.0,,3600.0,6100.0,5500.0,7200.0,7500.0,7400.0,12800.0,9300.0,9300.0,10500.0,13300.0,3700.0,800.0,,52.9
　　　　契約社員,61,999300.0,900.0,34700.0,63100.0,52300.0,47800.0,57900.0,65100.0,77600.0,79900.0,264800.0,152500.0,79900.0,20100.0,2600.0,200.0,54.2
　　　　嘱託,62,490700.0,100.0,2800.0,6900.0,6900.0,9900.0,11200.0,16100.0,18800.0,21500.0,243400.0,101900.0,41800.0,7400.0,1900.0,300.0,61.0
　　　　その他,63,148800.0,800.0,4700.0,7200.0,7300.0,6200.0,7100.0,11500.0,14600.0,15300.0,31100.0,23900.0,13300.0,4300.0,1400.0,0.0,55.0
　　１年超３年以下,64,1827900.0,19800.0,134600.0,134600.0,119500.0,122200.0,133400.0,163300.0,165900.0,143900.0,348300.0,207900.0,102200.0,27500.0,4400.0,400.0,49.7
　　　正規の職員・従業員,65,362500.0,1200.0,36200.0,46000.0,26700.0,19600.0,20100.0,17800.0,20000.0,20700.0,102900.0,36800.0,10800.0,3100.0,500.0,0.0,48.1
　　　非正規の職員・従業員,66,1465400.0,18700.0,98300.0,88500.0,92800.0,102600.0,113300.0,145500.0,145900.0,123200.0,245400.0,171200.0,91400.0,24400.0,3900.0,400.0,50.0
　　　　パート,67,620900.0,1100.0,9200.0,17100.0,34000.0,48100.0,61300.0,82600.0,78900.0,67600.0,85200.0,76500.0,45100.0,12400.0,1800.0,100.0,52.7
　　　　アルバイト,68,139000.0,15500.0,42400.0,7500.0,5900.0,7600.0,6100.0,6600.0,7100.0,5800.0,8400.0,14400.0,8300.0,2700.0,400.0,100.0,39.3
　　　　労働者派遣事業所の派遣社員,69,86100.0,500.0,7500.0,10100.0,7900.0,7900.0,11200.0,10200.0,13700.0,5600.0,4000.0,3900.0,2500.0,900.0,0.0,0.0,43.6
　　　　契約社員,70,386100.0,600.0,24300.0,38500.0,33200.0,27400.0,26600.0,35500.0,33500.0,29700.0,72300.0,39600.0,20100.0,4100.0,600.0,,48.8
　　　　嘱託,71,160300.0,,1700.0,3800.0,6400.0,6700.0,4400.0,6600.0,9100.0,10200.0,66300.0,29400.0,12000.0,3100.0,600.0,,58.4
　　　　その他,72,73100.0,900.0,13300.0,11500.0,5500.0,5000.0,3600.0,4000.0,3700.0,4100.0,9100.0,7400.0,3400.0,1200.0,300.0,100.0,43.4
　　３年超５年以下,73,435600.0,4900.0,34600.0,46600.0,24200.0,24700.0,25100.0,24500.0,25800.0,25100.0,138700.0,32300.0,21000.0,6900.0,1200.0,,49.7
　　　正規の職員・従業員,74,194600.0,700.0,16300.0,27200.0,12200.0,12400.0,12400.0,9200.0,8500.0,12100.0,65100.0,10500.0,5700.0,1900.0,300.0,,48.0
　　　非正規の職員・従業員,75,241000.0,4200.0,18300.0,19400.0,12100.0,12300.0,12700.0,15300.0,17300.0,13000.0,73600.0,21800.0,15300.0,5000.0,900.0,,51.0
　　　　パート,76,53500.0,200.0,1400.0,1600.0,2800.0,3500.0,5800.0,6800.0,7500.0,4000.0,8100.0,5600.0,4500.0,1600.0,,,52.6
　　　　アルバイト,77,25000.0,3900.0,6300.0,1400.0,1900.0,300.0,400.0,1000.0,1300.0,700.0,1300.0,3400.0,2000.0,700.0,200.0,,40.8
