"雇用契約期間の定めの有無
従業上の地位・雇用形態",番号,総数,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85歳以上,平均年齢
総数,1,27184700.0,518000.0,2123600.0,2566600.0,2417800.0,2584700.0,2903000.0,3494900.0,3370200.0,2686100.0,2016000.0,1248300.0,844900.0,302600.0,81800.0,26100.0,44.7
　　　正規の職員・従業員,2,12716800.0,72800.0,1254500.0,1882900.0,1549800.0,1421100.0,1438600.0,1616400.0,1438700.0,1108600.0,500700.0,190000.0,136300.0,61600.0,31000.0,13800.0,40.8
　　　非正規の職員・従業員,3,14467900.0,445200.0,869100.0,683700.0,868000.0,1163600.0,1464400.0,1878500.0,1931500.0,1577500.0,1515300.0,1058300.0,708600.0,241000.0,50800.0,12300.0,48.1
　　　　パート,4,9101000.0,11100.0,97800.0,264400.0,482900.0,784100.0,1042900.0,1337200.0,1377000.0,1149100.0,1055300.0,775100.0,518800.0,169200.0,31100.0,5000.0,51.5
　　　　アルバイト,5,2166600.0,423000.0,613800.0,147700.0,118100.0,109800.0,113400.0,133900.0,121700.0,87600.0,89300.0,101000.0,75200.0,23600.0,6400.0,2000.0,34.7
　　　　労働者派遣事業所の派遣社員,6,952500.0,5900.0,47300.0,105200.0,100600.0,94300.0,108100.0,152700.0,146600.0,93900.0,40100.0,23900.0,23400.0,9000.0,1300.0,300.0,44.1
　　　　契約社員,7,1366100.0,1600.0,80600.0,126200.0,124200.0,118400.0,136500.0,171100.0,184900.0,149800.0,161300.0,67800.0,32000.0,10100.0,1600.0,0.0,46.3
　　　　嘱託,8,402600.0,,5600.0,13700.0,16000.0,25800.0,28500.0,35900.0,48600.0,48000.0,112500.0,41800.0,18900.0,4700.0,1600.0,900.0,54.2
　　　　その他,9,479100.0,3600.0,23900.0,26600.0,26200.0,31200.0,35000.0,47600.0,52800.0,49200.0,56700.0,48600.0,40200.0,24300.0,9000.0,4100.0,52.6
"　雇用契約期間の定めがない
　（定年までの雇用を含む）",10,16761000.0,189000.0,1318700.0,1910100.0,1731200.0,1764600.0,1910200.0,2210100.0,2085300.0,1673500.0,887900.0,502500.0,365000.0,144800.0,49300.0,18800.0,43.2
　　　正規の職員・従業員,11,11624300.0,58400.0,1082800.0,1714200.0,1433200.0,1331700.0,1349900.0,1525900.0,1351700.0,1043000.0,381100.0,148500.0,110800.0,53300.0,27800.0,12200.0,40.8
　　　非正規の職員・従業員,12,5136700.0,130500.0,235900.0,196000.0,298000.0,433000.0,560300.0,684200.0,733600.0,630400.0,506800.0,354000.0,254200.0,91500.0,21600.0,6600.0,48.9
