男女,地域識別コード,都道府県,地域名,総数,外国人,韓国|朝鮮,中国,フィリピン,タイ,インドネシア,ベトナム,インド,ネパール,イギリス,アメリカ,ブラジル,ペルー,113_その他,2_日本人,3_日本人・外国人の別「不詳」
0_総数,a,00_全国,00000_全国,126146099,2402460,374593,667475,230351,42702,49147,320805,27915,67325,13590,47875,180014,41034,339634,121541155,2202484
0_総数,a,01_北海道,01000_北海道,5224614,34321,4074,9548,2057,619,681,8770,609,643,352,1090,144,44,5690,5151366,38927
0_総数,1,01_北海道,01100_札幌市,1973395,12634,2363,4573,445,181,176,1377,134,231,163,522,58,12,2399,1933094,27667
0_総数,0,01_北海道,01101_札幌市中央区,248680,2413,527,830,69,36,23,212,33,50,51,172,6,2,402,238156,8111
0_総数,0,01_北海道,01102_札幌市北区,289323,2770,293,1364,72,50,68,168,70,59,30,76,15,1,504,282182,4371
0_総数,0,01_北海道,01103_札幌市東区,265379,1655,272,532,82,22,25,196,10,23,17,37,9,1,429,257346,6378
0_総数,0,01_北海道,01104_札幌市白石区,211835,1094,248,315,54,13,11,204,2,11,9,25,3,2,197,210298,443
0_総数,0,01_北海道,01105_札幌市豊平区,225298,1435,403,446,54,18,15,73,8,17,20,71,3,3,304,222023,1840
0_総数,0,01_北海道,01106_札幌市南区,135777,580,86,211,19,12,4,43,2,18,14,51,1,3,116,133106,2091
0_総数,0,01_北海道,01107_札幌市西区,217040,975,171,211,48,15,13,208,6,16,14,36,13,0,224,213606,2459
0_総数,0,01_北海道,01108_札幌市厚別区,125083,670,71,373,21,8,6,66,2,18,2,18,2,0,83,124408,5
0_総数,0,01_北海道,01109_札幌市手稲区,142625,467,47,128,15,4,7,146,1,10,2,18,1,0,88,140885,1273
0_総数,0,01_北海道,01110_札幌市清田区,112355,575,245,163,11,3,4,61,0,9,4,18,5,0,52,111084,696
0_総数,2,01_北海道,01202_函館市,251084,989,126,217,73,9,23,307,4,31,13,23,4,4,155,248208,1887
0_総数,2,01_北海道,01203_小樽市,111299,552,62,109,13,14,2,128,0,7,5,27,2,0,183,109971,776
0_総数,2,01_北海道,01204_旭川市,329306,1082,187,177,82,8,17,368,2,57,13,36,9,1,125,325287,2937
0_総数,2,01_北海道,01205_室蘭市,82383,380,57,148,10,9,3,66,9,9,1,9,1,0,58,81658,345
0_総数,2,01_北海道,01206_釧路市,165077,815,80,149,93,2,11,391,0,12,5,14,2,1,55,163026,1236
0_総数,2,01_北海道,01207_帯広市,166536,717,106,83,32,8,24,190,8,17,2,26,7,0,214,165759,60
0_総数,2,01_北海道,01208_北見市,115480,402,52,98,34,0,11,95,4,0,1,7,2,0,98,114601,477
0_総数,2,01_北海道,01209_夕張市,7334,87,4,73,0,0,1,4,4,0,0,0,1,0,0,7247,0
0_総数,2,01_北海道,01210_岩見沢市,79306,196,21,41,15,3,5,46,2,7,1,18,1,0,36,79031,79
0_総数,2,01_北海道,01211_網走市,35759,321,29,176,11,0,13,47,0,5,0,10,1,0,29,35429,9
0_総数,2,01_北海道,01212_留萌市,20114,134,8,3,1,0,0,102,0,5,0,2,0,0,13,19940,40
0_総数,2,01_北海道,01213_苫小牧市,170113,722,116,128,40,9,5,246,22,17,4,11,0,12,112,168873,518
0_総数,2,01_北海道,01214_稚内市,33563,435,27,161,5,1,0,183,0,38,0,7,0,0,13,33083,45
0_総数,2,01_北海道,01215_美唄市,20413,44,15,10,4,0,0,3,0,3,0,2,0,0,7,20343,26
